A,B,C
2019?2?5?,0.656,0.00%
2019?2?4?,0.656,0.00%
2019?2?1?,0.656,3.14%
2019?1?31?,0.636,-0.16%
2019?1?30?,0.637,-2.00%
2019?1?29?,0.65,-0.31%
2019?1?28?,0.652,1.09%
2019?1?25?,0.645,-0.77%
2019?1?24?,0.65,1.09%
2019?1?23?,0.643,-0.31%
2019?1?22?,0.645,-1.83%
2019?1?21?,0.657,1.23%
2019?1?18?,0.649,0.93%
2019?1?17?,0.643,-1.53%
2019?1?16?,0.653,0.15%
2019?1?15?,0.652,1.56%
2019?1?14?,0.642,-1.08%
2019?1?11?,0.649,0.62%
2019?1?10?,0.645,-0.92%
2019?1?9?,0.651,-0.15%
2019?1?8?,0.652,-0.46%
2019?1?7?,0.655,2.18%
2019?1?4?,0.641,3.55%
2019?1?3?,0.619,-1.90%
2019?1?2?,0.631,-0.79%
2019?1?1?,0.636,0.00%
2018?12?31?,0.636,0.00%
2018?12?28?,0.636,-0.93%
2018?12?27?,0.642,-1.08%
2018?12?26?,0.649,-0.76%
2018?12?25?,0.654,0.00%
2018?12?24?,0.654,1.87%
2018?12?21?,0.642,0.47%
2018?12?20?,0.639,0.31%
2018?12?19?,0.637,-1.24%
2018?12?18?,0.645,-0.31%
2018?12?17?,0.647,-1.82%
2018?12?14?,0.659,-2.37%
2018?12?13?,0.675,1.05%
2018?12?12?,0.668,-0.45%
2018?12?11?,0.671,0.30%
2018?12?10?,0.669,0.30%
2018?12?7?,0.667,0.76%
2018?12?6?,0.662,-2.65%
2018?12?5?,0.68,-0.73%
2018?12?4?,0.685,-0.15%
2018?12?3?,0.686,3.31%
2018?11?30?,0.664,0.76%
2018?11?29?,0.659,-3.80%
2018?11?28?,0.685,0.15%
2018?11?27?,0.684,1.63%
2018?11?26?,0.673,-0.15%
2018?11?23?,0.674,-3.85%
2018?11?22?,0.701,0.86%
2018?11?21?,0.695,-0.29%
2018?11?20?,0.697,-3.73%
2018?11?19?,0.724,-0.14%
2018?11?16?,0.725,2.11%
2018?11?15?,0.71,2.45%
2018?11?14?,0.693,-0.57%
2018?11?13?,0.697,0.00%
2018?11?12?,0.697,3.87%
2018?11?9?,0.671,0.15%
2018?11?8?,0.67,-1.76%
2018?11?7?,0.682,0.59%
2018?11?6?,0.678,-0.59%
2018?11?5?,0.682,-0.44%
2018?11?2?,0.685,3.79%
2018?11?1?,0.66,1.85%
2018?10?31?,0.648,0.78%
2018?10?30?,0.643,-0.62%
2018?10?29?,0.647,-0.15%
2018?10?26?,0.648,-0.61%
2018?10?25?,0.652,-2.69%
2018?10?24?,0.67,-0.74%
2018?10?23?,0.675,-2.88%
2018?10?22?,0.695,4.51%
2018?10?19?,0.665,3.74%
2018?10?18?,0.641,-1.08%
2018?10?17?,0.648,3.51%
2018?10?16?,0.626,-3.54%
2018?10?15?,0.649,-0.76%
2018?10?12?,0.654,1.71%
2018?10?11?,0.643,-7.08%
2018?10?10?,0.692,-0.14%
2018?10?9?,0.693,-2.39%
2018?10?8?,0.71,-4.83%
2018?10?5?,0.746,0.00%
2018?10?4?,0.746,0.00%
2018?10?3?,0.746,0.00%
2018?10?2?,0.746,0.00%
2018?10?1?,0.746,0.00%
2018?9?28?,0.746,0.13%
2018?9?27?,0.745,-0.80%
2018?9?26?,0.751,0.40%
2018?9?25?,0.748,0.81%
2018?9?24?,0.742,0.00%
2018?9?21?,0.742,0.27%
